160,0
130,0
140,0
120,1
150,0
110,1
100,1
120,1
110,1
140,0
150,0
100,1
160,0
130,1
140,0
130,1
110,1
120,1
150,0
160,0
100,1
160,0
150,0
110,1
100,1
140,0
130,0
120,1
120,1
100,1
150,0
140,0
130,0
110,1
160,0
130,0
160,0
120,1
100,1
150,0
110,1
140,0
160,0
130,0
120,1
100,1
140,0
150,0
110,1
110,1
140,0
160,0
120,0
100,1
150,0
130,0
150,0
130,0
120,1
110,1
100,1
160,0
140,0
150,0
100,1
130,1
110,1
120,1
140,0
160,0
110,1
130,0
140,0
120,1
160,0
150,0
100,1
130,0
150,0
120,1
100,1
140,0
160,0
110,1
160,0
100,1
130,0
110,1
120,1
140,0
150,0
160,0
110,1
100,1
150,0
120,1
140,0
130,0
160,0
100,1
150,0
120,0
130,0
140,0
110,1
100,1
140,0
130,0
110,1
160,0
150,0
120,0
160,0
120,0
130,0
100,1
110,1
150,0
140,0
160,0
110,1
100,1
120,0
130,0
140,0
150,0
150,0
100,1
160,0
120,1
140,0
110,1
130,1
160,0
130,0
110,1
120,1
100,1
140,0
