145,0
190,0
175,0
100,1
160,0
115,1
130,1
100,1
130,0
175,0
145,0
160,0
190,0
115,1
190,0
145,0
100,1
175,0
115,1
130,1
160,0
175,0
100,1
115,1
160,0
145,0
130,1
190,0
190,0
145,0
100,1
160,0
175,0
130,1
115,1
115,1
190,0
130,1
175,0
160,0
145,0
100,1
160,0
190,0
130,1
115,1
175,0
145,0
100,1
100,1
115,1
130,0
190,0
145,0
175,0
160,0
100,1
130,0
145,0
115,1
175,0
190,0
160,0
145,0
115,1
100,1
130,1
160,0
175,0
190,0
100,1
145,0
175,0
190,0
115,1
160,0
130,1
115,1
160,0
100,1
190,0
145,0
175,0
130,0
160,0
175,0
100,1
190,0
115,1
130,1
145,0
190,0
100,1
145,0
115,1
160,0
175,0
130,1
175,0
145,0
130,0
115,1
100,1
160,0
190,0
175,0
100,1
190,0
145,0
115,1
160,0
130,1
130,1
100,1
145,0
115,1
160,0
190,0
175,0
115,1
190,0
145,0
130,0
100,1
175,0
160,0
145,0
130,0
175,0
160,0
115,1
190,0
100,1
190,0
175,0
115,1
145,0
130,1
100,1
